,0
Zipcode[T.62263],306708.85949995846
Zipcode[T.62265],146524.05870106138
Zipcode[T.62269],743340.7203316077
Zipcode[T.62271],110397.23865266466
Zipcode[T.62274],249274.46799907717
Zipcode[T.62339],-30103.989245926376
Zipcode[T.62347],-59598.44870817012
Zipcode[T.62351],-117194.38462187849
Zipcode[T.62354],-80731.1207670128
Zipcode[T.62358],-78752.23279260701
Zipcode[T.62366],-36009.32719595854
Zipcode[T.62367],-74781.38478740591
Zipcode[T.62370],-7496.979458509622
Zipcode[T.62379],-64609.67167254411
Zipcode[T.62418],-91882.59960291348
Zipcode[T.62421],-66658.16296526609
Zipcode[T.62424],-85098.56544754936
Zipcode[T.62426],36457.925676686595
Zipcode[T.62427],-121409.30998983716
Zipcode[T.62432],-138268.82475529192
Zipcode[T.62434],-111062.00828877132
Zipcode[T.62436],68410.68550214145
Zipcode[T.62443],-79162.79420591662
Zipcode[T.62445],-68744.37631153257
Zipcode[T.62447],-81864.44825673313
Zipcode[T.62461],-57991.37986149286
Zipcode[T.62462],-88884.25818324478
Zipcode[T.62465],-88129.39847975477
Zipcode[T.62468],-36638.29677822419
Zipcode[T.62473],-61906.329476544124
Zipcode[T.62474],-78430.33395171906
Zipcode[T.62475],-72103.22773828408
Zipcode[T.62476],-117706.89244993422
Zipcode[T.62478],-67814.71959353359
Zipcode[T.62479],-92955.41814562744
Zipcode[T.62481],7471.759849405602
Zipcode[T.62523],-80197.30363369257
Zipcode[T.62530],-30208.085348334618
Zipcode[T.62533],-80888.25336387378
Zipcode[T.62535],-28444.35096687955
Zipcode[T.62539],55906.16366441121
Zipcode[T.62555],-107743.52078020519
Zipcode[T.62571],-77434.48638062304
Zipcode[T.62573],-73573.25440959177
Zipcode[T.62615],30158.411790903276
Zipcode[T.62626],-55428.22956702386
Zipcode[T.62627],35194.216967837194
Zipcode[T.62631],22382.56801314691
Zipcode[T.62633],-56153.02584058908
Zipcode[T.62634],-27020.19333428618
Zipcode[T.62635],-53288.70039520481
Zipcode[T.62640],-22776.284894253607
Zipcode[T.62643],47459.672784394344
Zipcode[T.62644],83444.83198842705
Zipcode[T.62650],33941.97342006062
Zipcode[T.62655],-11724.901763293758
Zipcode[T.62661],-15340.840208427651
Zipcode[T.62664],27140.574602997713
Zipcode[T.62665],43416.59077811608
Zipcode[T.62667],-36507.74439815936
Zipcode[T.62668],-29398.7808946136
Zipcode[T.62670],22394.98958947638
Zipcode[T.62671],70230.99235060748
Zipcode[T.62673],37210.15548717487
Zipcode[T.62675],50594.01937598486
Zipcode[T.62677],30336.77941944993
Zipcode[T.62684],-26437.401486167804
Zipcode[T.62690],-11090.891866184546
Zipcode[T.62691],-32761.28555032375
Zipcode[T.62693],-4970.535920657553
Zipcode[T.62803],-41329.95571593386
Zipcode[T.62810],11959.087784645983
Zipcode[T.62812],-70290.37819647485
Zipcode[T.62822],-145523.2252455462
Zipcode[T.62823],-107128.25589581575
Zipcode[T.62824],-118224.73836979896
Zipcode[T.62865],-141122.79687250292
Zipcode[T.62869],-103750.07597196513
Zipcode[T.62883],-117970.60455605322
Zipcode[T.62886],-92787.27302175958
Zipcode[T.62898],-127812.36382970179
Zipcode[T.62902],-90593.26523220402
Zipcode[T.62905],-120587.262707203
Zipcode[T.62906],-90304.89188231478
Zipcode[T.62907],-129599.25415977283
Zipcode[T.62910],-41217.45627916149
Zipcode[T.62912],-119603.07146252127
Zipcode[T.62914],-148519.59166471526
Zipcode[T.62916],-127723.39183230785
Zipcode[T.62918],-107923.09149884968
Zipcode[T.62919],-131302.43574327644
Zipcode[T.62922],-93742.18657477872
Zipcode[T.62926],-107084.03188174788
Zipcode[T.62932],-54205.95122010336
Zipcode[T.62933],-97831.74635080821
Zipcode[T.62934],-150996.76099115278
Zipcode[T.62939],-128446.34950854602
Zipcode[T.62941],-40655.70031220336
Zipcode[T.62942],-122737.06335057378
Zipcode[T.62946],-75665.6369616281
Zipcode[T.62948],-102183.58227263049
Zipcode[T.62951],-120098.60334677862
Zipcode[T.62956],-31542.465967008575
Zipcode[T.62958],-87264.54424886435
Zipcode[T.62959],-54184.273197008144
Zipcode[T.62963],-138939.65079826536
Zipcode[T.62969],-150041.22605474212
Zipcode[T.62974],-145595.30854288212
Zipcode[T.62976],-142820.83562937393
Zipcode[T.62977],-120193.07426630773
Zipcode[T.62979],-129258.57728907412
Zipcode[T.62984],-144653.07619525524
Zipcode[T.62992],-139859.87368240574
Zipcode[T.63005],-148976.57537919932
Zipcode[T.63010],-86241.25480238594
Zipcode[T.63013],-145148.06747952005
Zipcode[T.63014],-153286.08638077916
Zipcode[T.63015],-151315.35489581438
Zipcode[T.63016],-113830.1953192098
Zipcode[T.63017],-65658.23267995573
Zipcode[T.63019],-123365.76555379524
Zipcode[T.63020],-66257.03983467573
Zipcode[T.63021],17649.178498611647
Zipcode[T.63040],-92533.15069416136
Zipcode[T.63042],-98915.47073040766
Zipcode[T.63043],-90871.61979396158
Zipcode[T.63049],-118021.8497251127
Zipcode[T.63056],-89317.56364033782
Zipcode[T.63069],-98736.12266709516
Zipcode[T.63070],-143785.74626573705
Zipcode[T.63077],-97615.48684583291
Zipcode[T.63108],-87697.41490444922
Zipcode[T.63109],-48112.68085461886
Zipcode[T.63110],-106712.43642876418
Zipcode[T.63118],-93708.03987245813
Zipcode[T.63119],-72209.01060308063
Zipcode[T.63120],-134170.51547123303
Zipcode[T.63128],-43708.776027879256
Zipcode[T.63132],-94341.53065057764
Zipcode[T.63138],-126472.50784537957
Zipcode[T.63144],-111250.24657069812
Zipcode[T.63146],-68133.01606533899
Zipcode[T.63303],-49139.18901127879
Zipcode[T.63343],-131341.92824036698
Zipcode[T.63347],-128258.32104349646
Zipcode[T.63349],-136472.7400944706
Zipcode[T.63350],-152943.89404560783
Zipcode[T.63351],-133177.79855548497
